topic_id,trial_id,decision,llm,justification
1,NCT00002814,1,short/openai,"The patient has biopsy-proven anaplastic astrocytoma with progression after radiotherapy and is age 45, but he previously received CPT-11 (irinotecan), a topoisomerase I inhibitor, which matches an exclusion criterion."
1,NCT00003470,2,short/openai,"Adult with biopsy-proven, incurable anaplastic astrocytoma who has received and likely failed standard therapy; corticosteroid use is allowed. No explicit exclusion criteria (e.g., uncontrolled hypertension, CHF, severe lung disease, hepatic/renal failure, active infection, concurrent antineoplastics) are documented. Many required details (MRI within 2 weeks, tumor size, KPS, labs, timing since last therapy, life expectancy, BP control) are not provided; per instructions, classify as satisfies when information is insufficient."
1,NCT00003471,0,short/openai,"The trial requires histologically confirmed low-grade astrocytoma; the patient has an anaplastic (high-grade, WHO grade III) astrocytoma, failing a key inclusion criterion. Other criteria are unspecified but are moot given this mismatch."
1,NCT00003621,1,short/openai,"Ineligible because not newly diagnosed and has received recent radiotherapy and multiple chemotherapies, failing inclusion criteria requiring “newly diagnosed” and ≥5 years since prior chemo/radiotherapy. Other required labs/ECOG not provided but key criteria are unmet."
1,NCT00006474,2,short/openai,"The patient has histologically confirmed anaplastic astrocytoma (grade III), is 45 years old, and has recurrent/progressive disease after radiotherapy, making the topic relevant and likely fitting key inclusions. No exclusion criteria are explicitly met. However, required details (labs, KPS, timing since last therapies, steroid dose stability, current evaluable disease on imaging) are not provided, so per instructions default to 2."
2,NCT00000469,2,short/openai,"The patient is male and has early carotid atherosclerosis (bilateral 1–39% ICA stenosis with plaque). LDL percentile is not provided; per instructions, if information is insufficient, respond with 2."
2,NCT00005199,2,short/openai,"No eligibility criteria were provided, so there is insufficient information to assess; per instructions, default to 2."
2,NCT00005267,2,short/openai,"The patient has a history of hypertension with onset before age 60 and no documented exclusion criteria (type 1 diabetes or renal failure). However, details on hypertensive sibling participation and confirmatory BP/treatment specifics are not provided. Per instructions, insufficient information defaults to 2."
4,NCT00002471,1,short/openai,"Patient has newly diagnosed Burkitt’s lymphoma (meets inclusion), but matches the exclusion criterion of “any prior therapy for diseases other than non-Hodgkin’s lymphoma” (e.g., prior DVT treated with IVC filter placement, lumbar drain for CSF leak/meningitis, knee surgery)."
4,NCT00002663,2,short/openai,"The patient has Burkitt’s lymphoma, but EBV positivity and relevant immunocompromised contexts (transplant, AIDS, congenital/acquired immunodeficiency) are not provided. No exclusionary moribund organ dysfunction is noted. Insufficient information to decide; per instructions, default to 2."
4,NCT00003337,2,short/openai,"Histologically confirmed B-cell NHL (Burkitt’s), age 44. No exclusions explicitly met. Other required details (ECOG, renal labs, pregnancy/allergy/exposure/other trials) not provided; per instructions, treat as eligible."
4,NCT00003338,2,short/openai,"The patient has histologically confirmed B‑cell NHL (Burkitt’s) and is ≥16 years old, but key eligibility details are missing (prior chemo/radiotherapy with minimal residual disease, ECOG 0–2, renal labs, pregnancy/contraception status, allergy or prior mouse antibody exposure, investigational therapy participation). Insufficient information to determine full eligibility."
4,NCT00003863,2,short/openai,"The patient is 44 years old with histologically confirmed Burkitt’s lymphoma (small noncleaved cell), meeting age and histology criteria. However, the description does not state whether she is registered to the specified front-line CALGB protocols or previously entered similar CALGB protocols, so eligibility cannot be definitively determined based on the provided information."
